accident_id	ST_CASE	VE_TOTAL	VE_FORMS	PEDS	PERSONS	COUNTY	county_name	CITY	city_name	DAY	MONTH	YEAR	HOUR	MINUTE	NHS	FUNC_SYS	func_sys_lit	ROAD_FNC	road_fnc_lit	RD_OWNER	rd_owner_lit	TWAY_ID	TWAY_ID2	LATITUDE	LONGITUD	SP_JUR	sp_jur_lit	HARM_EV	harm_ev_lit	MAN_COLL	man_coll_lit	RELJCT1	RELJCT2	TYP_INT	WRK_ZONE	REL_ROAD	LGT_COND	lgt_cond_lit	WEATHER	weather_lit	SCH_BUS	CF1	CF2	CF3	cf1_lit	cf2_lit	cf3_lit	FATALS	A_INTER	a_inter_lit	A_ROADFC	a_road_fc_lit	A_TOD	a_tod_lit	A_DOW	a_dow_lit	A_LT	a_lt_lit	A_SPCRA	a_spcra_lit	A_PED	a_ped_lit	A_PED_F	a_ped_f_lit	A_PEDAL	a_pedal_lit	A_PEDAL_F	a_pedal_f_lit	A_POLPUR	a_polour_lit	A_POSBAC	a_posbac_lit	A_DIST	a_dist_lit	A_DROWSY	a_drowsy_lit	INDIAN_RES	indian_res_lit
2012040001	40001	1	1	0	1	19	PIMA	0	NONE LISTED	1	1	2012	2	13	0		.	16	Urban-Local Road or Street		.	CLAUDE ST	JEROME ST	32.182858330	-111.165177780	0	No Special Jurisdiction	1	Rollover/Overturn	0	Not a Collision with Motor Vehicle In-Transport	0	2	3	0	1	2	Dark - Not Lighted	1	Clear	No	0	0	0	None	None	None	1	2	Non-Interstate	6	Local	2	Nighttime	2	Weekend	2	Other Crash	1	Speeding Involved Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	1	Driver With Positive BAC Testing Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040002	40002	1	1	0	2	25	YAVAPAI	90	CLARKDALE	1	1	2012	16	33	0		.	4	Rural-Major Collector		.	SR-89A	VALLEY VIEW RD	34.758316670	-112.058594440	0	No Special Jurisdiction	33	Curb	0	Not a Collision with Motor Vehicle In-Transport	0	3	5	0	4	1	Daylight	10	Cloudy	No	0	0	0	None	None	None	1	2	Non-Interstate	5	Collector	1	Daytime	2	Weekend	2	Other Crash	1	Speeding Involved Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	1	Driver With Positive BAC Testing Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040003	40003	1	1	1	0	13	MARICOPA	370	PHOENIX	1	1	2012	18	4	0		.	15	Urban-Collector		.	69TH AVE		33.507908330	-112.207580560	0	No Special Jurisdiction	8	Pedestrian	0	Not a Collision with Motor Vehicle In-Transport	0	1	1	0	4	3	Dark - Lighted	1	Clear	No	0	0	0	None	None	None	1	2	Non-Interstate	5	Collector	2	Nighttime	2	Weekend	2	Other Crash	2	Other Crash	1	Pedestrian Involved Crash	1	Involving a pedestrian fatality	2	Other Crash	2	Other Crash	2	Other Crash	2	All Drivers With ZERO BAC Testing Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040004	40004	2	2	0	2	13	MARICOPA	190	GILBERT	1	1	2012	20	3	0		.	15	Urban-Collector		.	ELLIOT RD	GREENFIELD RD	33.350222220	-111.738366670	0	No Special Jurisdiction	12	Motor Vehicle In-Transport	6	Angle	0	2	2	0	1	3	Dark - Lighted	1	Clear	No	0	0	0	None	None	None	1	2	Non-Interstate	5	Collector	2	Nighttime	2	Weekend	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	All Drivers With ZERO BAC Testing Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040005	40005	2	2	0	4	19	PIMA	530	TUCSON	4	1	2012	0	17	0		.	4	Rural-Major Collector		.	SR-83		31.900238890	-110.664633330	0	No Special Jurisdiction	24	Guardrail Face	0	Not a Collision with Motor Vehicle In-Transport	0	1	1	0	4	2	Dark - Not Lighted	1	Clear	No	0	0	0	None	None	None	1	2	Non-Interstate	5	Collector	2	Nighttime	1	Weekday	2	Other Crash	1	Speeding Involved Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	3	Unknown BAC Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040006	40006	1	1	1	1	13	MARICOPA	290	MESA	4	1	2012	9	46	0		.	14	Urban-Minor Arterial		.	SOUTHERN AVE		33.392988890	-111.865697220	0	No Special Jurisdiction	15	Non-Motorist on Personal Conveyance	0	Not a Collision with Motor Vehicle In-Transport	0	1	1	0	1	1	Daylight	1	Clear	No	0	0	0	None	None	None	1	2	Non-Interstate	4	Minor arterial	1	Daytime	1	Weekday	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	3	Unknown BAC Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040007	40007	1	1	0	2	13	MARICOPA	370	PHOENIX	4	1	2012	21	54	1		.	12	Urban-Principal Arterial-Other Freeways or Expressways		.	SR-101		33.668902780	-112.048900000	0	No Special Jurisdiction	25	Concrete Traffic Barrier	0	Not a Collision with Motor Vehicle In-Transport	0	1	1	0	4	3	Dark - Lighted	1	Clear	No	0	0	0	None	None	None	1	2	Non-Interstate	2	Freeway and expressway, principal arterial	2	Nighttime	1	Weekday	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	3	Unknown BAC Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040008	40008	3	3	1	6	17	NAVAJO	565	WHITERIVER	5	1	2012	18	17	0		.	15	Urban-Collector		.	SR-73		33.840319440	-109.964266670	3	Indian Reservation	8	Pedestrian	0	Not a Collision with Motor Vehicle In-Transport	0	1	1	0	1	2	Dark - Not Lighted	1	Clear	No	14	0	0	Motor Vehicle struck by falling cargo,or something	None	None	1	2	Non-Interstate	5	Collector	2	Nighttime	1	Weekday	2	Other Crash	2	Other Crash	1	Pedestrian Involved Crash	1	Involving a pedestrian fatality	2	Other Crash	2	Other Crash	2	Other Crash	3	Unknown BAC Crash	1	Involving a Distracted Driver	2	Other Crash	1	Tribal Lands
2012040009	40009	1	1	0	4	23	SANTA CRUZ	392	RIO RICO	6	1	2012	14	54	1		.	11	Urban-Principal Arterial-Interstate		.	I-19		31.451533330	-110.975016670	0	No Special Jurisdiction	1	Rollover/Overturn	0	Not a Collision with Motor Vehicle In-Transport	0	1	1	0	1	1	Daylight	1	Clear	No	0	0	0	None	None	None	1	1	Interstate	1	Interstate, principal arterial	1	Daytime	1	Weekday	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	All Drivers With ZERO BAC Testing Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040010	40010	1	1	0	1	25	YAVAPAI	0	NONE LISTED	6	1	2012	17	24	0		.	3	Rural-Minor Arterial		.	SR-89A		34.788986110	-111.919633330	0	No Special Jurisdiction	1	Rollover/Overturn	0	Not a Collision with Motor Vehicle In-Transport	0	1	1	0	3	1	Daylight	1	Clear	No	0	0	0	None	None	None	1	2	Non-Interstate	4	Minor arterial	1	Daytime	1	Weekday	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	All Drivers With ZERO BAC Testing Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
